# dimensionless total [l(l+1)/2pi] C_l's
# for l=2 to 3000, i.e. number of multipoles equal to 2999
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
# -> for CMB lensing (phi), these are C_l^phi-phi for the lensing potential.
#    Remember the conversion factors:
#    C_l^dd (deflection) = l(l+1) C_l^phi-phi
#    C_l^gg (shear/convergence) = 1/4 (l(l+1))^2 C_l^phi-phi
#
# 1:l     2:TT                     3:EE                     4:TE                     5:BB                     6:phiphi                 7:TPhi                   8:Ephi               
    2       1.381673123352e-10       4.179500738329e-15       3.519340106154e-13       0.000000000000e+00       8.236368308096e-09       4.535746413454e-10      -1.842359466788e-12 
    3       1.306687588068e-10       5.354349761425e-15       3.955017677761e-13       0.000000000000e+00       5.068757817772e-09       3.217367893554e-10      -1.394919911835e-12 
    4       1.236002822185e-10       4.628865749222e-15       3.698086619846e-13       0.000000000000e+00       3.524741135640e-09       2.436997395839e-10      -9.127419527713e-13 
    5       1.183077980159e-10       3.086039106717e-15       3.148769852288e-13       0.000000000000e+00       2.631980077232e-09       1.925368717881e-10      -5.069338556980e-13 
    6       1.146781345621e-10       1.724512534184e-15       2.535649144542e-13       0.000000000000e+00       2.056887148619e-09       1.566785695892e-10      -2.081012163236e-13 
    7       1.123125882150e-10       9.315386479021e-16       1.990693450745e-13       0.000000000000e+00       1.660292198939e-09       1.303589842902e-10      -1.764541224401e-14 
    8       1.109312643541e-10       6.011012894942e-16       1.571596203347e-13       0.000000000000e+00       1.372926164090e-09       1.103958020888e-10       7.941417365459e-14 
    9       1.102860620751e-10       4.824289415960e-16       1.291091749680e-13       0.000000000000e+00       1.156601644374e-09       9.490320293821e-11       1.064376890358e-13 
   10       1.101462239562e-10       4.107510819536e-16       1.135896242177e-13       0.000000000000e+00       9.888507984114e-10       8.262926944196e-11       8.927914823158e-14 
   11       1.104530551442e-10       3.446473241048e-16       1.079388559316e-13       0.000000000000e+00       8.333804329358e-10       7.300888841779e-11       5.203132459405e-14 
   12       1.110548747145e-10       2.997606628777e-16       1.090992713836e-13       0.000000000000e+00       7.283489585797e-10       6.455582387109e-11       1.227608095713e-14 
   13       1.119013679109e-10       2.870888941659e-16       1.143865872296e-13       0.000000000000e+00       6.421078076653e-10       5.769183854119e-11      -1.798976645930e-14 
   14       1.129452125434e-10       2.986644253261e-16       1.217805232636e-13       0.000000000000e+00       5.703409153515e-10       5.171514722200e-11      -3.451219670516e-14 
   15       1.141730278054e-10       3.227441261470e-16       1.299916829052e-13       0.000000000000e+00       5.099194126634e-10       4.668819348165e-11      -3.750058161869e-14 
   16       1.155095577419e-10       3.568043558267e-16       1.383569623163e-13       0.000000000000e+00       4.585371747746e-10       4.235492808823e-11      -3.091261033968e-14 
   17       1.169824162609e-10       4.063741338225e-16       1.466586396231e-13       0.000000000000e+00       4.144517847412e-10       3.857284883329e-11      -1.994042169578e-14 
   18       1.185283954831e-10       4.768832954425e-16       1.551537726962e-13       0.000000000000e+00       3.761812859325e-10       3.527415041185e-11      -9.473435887704e-15 
   19       1.201587495090e-10       5.686593001538e-16       1.640642955177e-13       0.000000000000e+00       3.431210234901e-10       3.241156751083e-11      -2.117108611198e-15 
   20       1.218662438749e-10       6.797014744102e-16       1.735308907936e-13       0.000000000000e+00       3.139983631844e-10       2.986962145285e-11       4.177261198562e-16 
   21       1.236523645119e-10       8.093673306831e-16       1.835064415642e-13       0.000000000000e+00       2.883573014732e-10       2.760242504555e-11      -1.297328806174e-15 
   22       1.254910486082e-10       9.571665165530e-16       1.938041648110e-13       0.000000000000e+00       2.655859204083e-10       2.555360915215e-11      -5.508470185042e-15 
   23       1.273871695833e-10       1.123297942410e-15       2.040968428891e-13       0.000000000000e+00       2.453721970361e-10       2.371508199737e-11      -1.047327862599e-14 
   24       1.293343710294e-10       1.307992533965e-15       2.139697664338e-13       0.000000000000e+00       2.272498687663e-10       2.207080465589e-11      -1.433766767707e-14 
