# dimensionless total lensed [l(l+1)/2pi] C_l's
# for l=2 to 2500, i.e. number of multipoles equal to 2499
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
# -> for CMB lensing (phi), these are C_l^phi-phi for the lensing potential.
#    Remember the conversion factors:
#    C_l^dd (deflection) = l(l+1) C_l^phi-phi
#    C_l^gg (shear/convergence) = 1/4 (l(l+1))^2 C_l^phi-phi
#
# 1:l     2:TT                     3:EE                     4:TE                     5:BB                     6:phiphi                 7:TPhi                   8:Ephi               
    2       1.381677854304e-10       4.179731719782e-15       3.519340066104e-13       2.309814108509e-19       8.236368308096e-09       4.535746413454e-10      -1.842359466788e-12 
    3       1.306697027052e-10       5.354811819745e-15       3.955017499253e-13       4.620578951682e-19       5.068757817772e-09       3.217367893554e-10      -1.394919911835e-12 
    4       1.236018503517e-10       4.629636057164e-15       3.698086106838e-13       7.703058579771e-19       3.524741135640e-09       2.436997395839e-10      -9.127419527713e-13 
    5       1.183101409308e-10       3.087194960655e-15       3.148768683349e-13       1.155846808103e-18       2.631980077232e-09       1.925368717881e-10      -5.069338556980e-13 
    6       1.146813993426e-10       1.726131381846e-15       2.535646845439e-13       1.618828236918e-18       2.056887148619e-09       1.566785695892e-10      -2.081012163236e-13 
    7       1.123169179902e-10       9.336981139234e-16       1.990689369397e-13       2.159420886232e-18       1.660292198939e-09       1.303589842902e-10      -1.764541224401e-14 
    8       1.109367979057e-10       6.038791983119e-16       1.571589487502e-13       2.777815658231e-18       1.372926164090e-09       1.103958020888e-10       7.941417365459e-14 
    9       1.102929335486e-10       4.859033371739e-16       1.291081327529e-13       3.474220258954e-18       1.156601644374e-09       9.490320293821e-11       1.064376890358e-13 
   10       1.101545626806e-10       4.150002438380e-16       1.135880806063e-13       4.248855673273e-18       9.888507984114e-10       8.262926944196e-11       8.927914823158e-14 
   11       1.104629855598e-10       3.497497793178e-16       1.079366552595e-13       5.101952572335e-18       8.333804329358e-10       7.300888841779e-11       5.203132459405e-14 
   12       1.110665164045e-10       3.057951931779e-16       1.090962320862e-13       6.033747753953e-18       7.283489585797e-10       6.455582387109e-11       1.227608095713e-14 
   13       1.119148357291e-10       2.941345382519e-16       1.143825011447e-13       7.044480712445e-18       6.421078076653e-10       5.769183854119e-11      -1.798976645930e-14 
   14       1.129606168280e-10       3.068004756226e-16       1.217751552220e-13       8.134390427190e-18       5.703409153515e-10       5.171514722200e-11      -3.451219670516e-14 
   15       1.141904746654e-10       3.320501198960e-16       1.299847705886e-13       9.303712448937e-18       5.099194126634e-10       4.668819348165e-11      -3.750058161869e-14 
   16       1.155291494007e-10       3.673600603077e-16       1.383482163580e-13       1.055267635009e-17       4.585371747746e-10       4.235492808823e-11      -3.091261033968e-14 
   17       1.170042514404e-10       4.182595256481e-16       1.466477439263e-13       1.188150359030e-17       4.144517847412e-10       3.857284883329e-11      -1.994042169578e-14 
   18       1.185525698185e-10       4.901785341230e-16       1.551403849536e-13       1.329040565178e-17       3.761812859325e-10       3.527415041185e-11      -9.473435887704e-15 
   19       1.201853559283e-10       5.834446954234e-16       1.640480478418e-13       1.477958372590e-17       3.431210234901e-10       3.241156751083e-11      -2.117108611198e-15 
   20       1.218953730536e-10       6.960574494445e-16       1.735113906129e-13       1.634922596117e-17       3.139983631844e-10       2.986962145285e-11       4.177261198562e-16 
   21       1.236841051801e-10       8.273743795085e-16       1.834832724820e-13       1.799950996471e-17       2.883573014732e-10       2.760242504555e-11      -1.297328806174e-15 
   22       1.255254879428e-10       9.769051574147e-16       1.937768877522e-13       1.973059978413e-17       2.655859204083e-10       2.555360915215e-11      -5.508470185042e-15 
   23       1.274243934097e-10       1.144848668456e-15       2.040649971785e-13       2.154264982727e-17       2.453721970361e-10       2.371508199737e-11      -1.047327862599e-14 
   24       1.293744641087e-10       1.331435759653e-15       2.139328711706e-13       2.343580179162e-17       2.272498687663e-10       2.207080465589e-11      -1.433766767707e-14 
   25       1.313776606052e-10       1.536752750481e-15       2.230928402901e-13       2.541019024522e-17       2.110064522184e-10       2.060004227222e-11      -1.626974967914e-14 
   26       1.334227444311e-10       1.761074699220e-15       2.312985158851e-13       2.746593892522e-17       1.963485923090e-10       1.926615922733e-11      -1.593285714920e-14 
   27       1.355046843616e-10       2.006415568385e-15       2.384328415820e-13       2.960316608895e-17       1.831009157902e-10       1.805183195784e-11      -1.394332649866e-14 
   28       1.376117403923e-10       2.275306642520e-15       2.444501978595e-13       3.182198198424e-17       1.710354968824e-10       1.693813081301e-11      -1.130861482494e-14 
   29       1.397530749582e-10       2.569154076775e-15       2.494204664277e-13       3.412249752348e-17       1.600910554790e-10       1.592307787683e-11      -8.694793547030e-15 
   30       1.419331489699e-10       2.888992413847e-15       2.534894398932e-13       3.650481706928e-17       1.501504334424e-10       1.500089760564e-11      -6.780530113413e-15 
   31       1.441459549257e-10       3.235821606994e-15       2.568051803887e-13       3.896903839840e-17       1.410112926913e-10       1.415712214649e-11      -6.191187489242e-15 
   32       1.463945023024e-10       3.610699767214e-15       2.593115801412e-13       4.151526356037e-17       1.326266380835e-10       1.338328985792e-11      -6.736467126167e-15 
   33       1.486759550338e-10       4.014676895720e-15       2.608762543377e-13       4.414359189882e-17       1.249373352533e-10       1.266600634630e-11      -7.873644047530e-15 
   34       1.509805756517e-10       4.448719102808e-15       2.613514095916e-13       4.685411872329e-17       1.178359739611e-10       1.198855391766e-11      -9.000986773196e-15 
   35       1.533105619985e-10       4.913543499836e-15       2.606075165561e-13       4.964694055732e-17       1.112863421075e-10       1.135289059151e-11      -9.838956713850e-15 
   36       1.556660682860e-10       5.409712512573e-15       2.585090401180e-13       5.252215185692e-17       1.052360371047e-10       1.076459051999e-11      -1.017393473514e-14 
   37       1.580429815006e-10       5.937760184892e-15       2.549328480302e-13       5.547984314578e-17       9.960648311097e-11       1.022624930335e-11      -9.836443346370e-15 
   38       1.604453312518e-10       6.498506661506e-15       2.498657817349e-13       5.852009896804e-17       9.438322798615e-11       9.735713892245e-12      -8.978565927364e-15 
   39       1.628758337710e-10       7.092841314690e-15       2.433400380678e-13       6.164299939554e-17       8.954978425044e-11       9.286736830236e-12      -7.892002705556e-15 
   40       1.653318430596e-10       7.721637268654e-15       2.354086582902e-13       6.484862065599e-17       8.506015964167e-11       8.869030987556e-12      -6.939721480716e-15 
   41       1.678081271017e-10       8.385706191542e-15       2.261244140197e-13       6.813703220583e-17       8.085489928676e-11       8.471400935005e-12      -6.460858246375e-15 
